"id","variable","wave","time_constant","reverse_scale"
"weight_1","r5_Weight_1",5,0,0
"weight_2","r5_Weight_2",5,0,0
"age","r5p5_1",5,1,0
"gender","r5p1",5,1,0
"region","r5p2",5,1,0
"county","r5p3",5,1,0
"education","r5p4_1",5,1,0
"citizenship","r5k28",5,1,0
"nfc_1","r5nfc_1",5,1,1
"nfc_2","r5nfc_2",5,1,1
"nfc_3","r5nfc_3",5,1,1
"like_krf","r5k6_1",5,0,0
"like_h","r5k6_2",5,0,0
"like_frp","r5k6_3",5,0,0
"like_v","r5k6_4",5,0,0
"like_sv","r5k6_5",5,0,0
"like_sp","r5k6_6",5,0,0
"like_mdg","r5k6_7",5,0,0
"like_ap","r5k6_8",5,0,0
"like_rodt","r5k6_9",5,0,0
"gov_satisfaction","r5k202",5,0,1
"eco_satisfaction","r5k10",5,0,1
"dem_satisfaction","r5k11",5,0,1
"lower_taxes","r5dv30_1",5,0,1
"allow_priv","r5dv30_2",5,0,1
"priv_better","r5dv30_3",5,0,1
"not_allow_love","r5dvh_1",5,0,1
"ref_social_rights","r5dvh_2",5,0,1
"eq_rights","r5dvh_3",5,0,1
"reduce_ineq","r5dv31_1",5,0,1
"rel_div_good","r5dv31_2",5,0,1
"emi_red_abroad","r5dv31_3",5,0,1
"vote_party_2015_municipal","r5k43_1",5,1,0
"vote_party_2015_county","r5k43_2",5,1,0
"would_vote_party","r5k204",5,0,0
"religion","r5k40",5,1,0
"marital_status","r5k27",5,1,0
"prohibit_begging","r5dv29_1",5,0,1
"muslims_loyal_to_muslims","r5dv29_3",5,0,1
"lose_identity_muslims","r5dv29_2",5,0,1
"subgroup","r6u",6,0,0
"recruited","r6rekruttert",6,1,0
"weight_1","r6Weight_1",6,0,0
"weight_2","r6Weight_2",6,0,0
"age","r6P5_1",6,1,0
"gender","r6P1",6,1,0
"region","r6P2",6,1,0
"county","R6P3",6,1,0
"education","r6P4_1",6,1,0
"like_krf","r6k6_1",6,0,0
"like_h","r6k6_2",6,0,0
"like_frp","r6k6_3",6,0,0
"like_v","r6k6_4",6,0,0
"like_sv","r6k6_5",6,0,0
"like_sp","r6k6_6",6,0,0
"like_mdg","r6k6_7",6,0,0
"like_ap","r6k6_8",6,0,0
"like_rodt","r6k6_9",6,0,0
"gov_satisfaction","r6tilfreds_3",6,0,1
"eco_satisfaction","r6k10",6,0,1
"dem_satisfaction","r6tilfreds_4",6,0,1
"life_satisfaction","r6tilfreds_1",6,0,1
"personal_eco_satisfaction","r6tilfreds_2",6,0,1
"lower_taxes","r6dv30_1",6,0,1
"allow_priv","r6dv30_2",6,0,1
"priv_better","r6dv30_3",6,0,1
"not_allow_love","r6dvh_1",6,0,1
"ref_social_rights","r6dvh_2",6,0,1
"eq_rights","r6dvh_3",6,0,1
"reduce_ineq","r6dv31_1",6,0,1
"rel_div_good","r6dv31_2",6,0,1
"emi_red_abroad","r6dv31_3",6,0,1
"would_vote_party","r6k204",6,0,0
"city","r6k35",6,1,0
"immigration_advantage","r65dv5",6,0,1
"immigration_policy_important","r6dv6",6,0,1
"immigration_best_party","r6dv7",6,0,0
"prohibit_begging","r6dv29_1",6,0,1
"muslims_loyal_to_muslims","r6dv29_2",6,0,1
"lose_identity_muslims","r6dv29_3",6,0,1
"subgroup","r7u",7,0,0
"recruited","r7recruited",7,1,0
"mobile","r7mobile",7,0,0
"weight_1","r7Weight1",7,0,0
"weight_2","r7Weight2",7,0,0
"age","r7P5_1",7,1,0
"gender","r7P1",7,1,0
"region","r7P2",7,1,0
"county","r7P3",7,1,0
"education","r7P4_1",7,1,0
"opinions_many","r7nte_1",7,1,1
"nfc_1","r7nfc_1",7,1,1
"nfc_2","r7nfc_2",7,1,1
"nfc_3","r7nfc_3",7,1,1
"like_krf","r7k6_1",7,0,0
"like_h","r7k6_2",7,0,0
"like_frp","r7k6_3",7,0,0
"like_v","r7k6_4",7,0,0
"like_sv","r7k6_5",7,0,0
"like_sp","r7k6_6",7,0,0
"like_mdg","r7k6_7",7,0,0
"like_ap","r7k6_8",7,0,0
"like_rodt","r7k6_9",7,0,0
"gov_satisfaction","r7ktilfreds_3",7,0,1
"eco_satisfaction","r7k10",7,0,1
"dem_satisfaction","r7ktilfreds_4",7,0,1
"life_satisfaction","r7ktilfreds_1",7,0,1
"personal_eco_satisfaction","r7ktilfreds_2",7,0,1
"lower_taxes","r7dv30_1",7,0,1
"allow_priv","r7dv30_2",7,0,1
"priv_better","r7dvh_3",7,0,1
"not_allow_love","r7dvh_1",7,0,1
"ref_social_rights","r7dvh_2",7,0,1
"eq_rights","r7dv30_3",7,0,1
"reduce_ineq","r7dvh_4",7,0,1
"rel_div_good","r7dv30_4",7,0,1
"would_vote_party","r7k204",7,0,0
"city","r7k35",7,1,0
"elite_1","r7elite_1",7,0,1
"elite_2","r7elite_2",7,0,1
"elite_3","r7elite_3",7,0,1
"elite_4","r7elite_4",7,0,1
