hl_id,hl_headline,hl_party_nor,hl_valance,hl_opinion,hl_direction,hl_valance_direction,hl_direction_wording,hl_party
22,Sp-politiker får skryt for forslag om å øke toppskatten,Sp,positive,lower_taxes,disagree,får skryt for forslag om,øke,sp
23,Mdg-politiker får skryt for forslag om å øke toppskatten,Mdg,positive,lower_taxes,disagree,får skryt for forslag om,øke,mdg
24,Venstre-politiker får skryt for forslag om å øke toppskatten,Venstre,positive,lower_taxes,disagree,får skryt for forslag om,øke,v
25,Krf-politiker får skryt for forslag om å øke toppskatten,Krf,positive,lower_taxes,disagree,får skryt for forslag om,øke,krf
26,Høyre-politiker får skryt for forslag om å øke toppskatten,Høyre,positive,lower_taxes,disagree,får skryt for forslag om,øke,h
27,Frp-politiker får skryt for forslag om å øke toppskatten,Frp,positive,lower_taxes,disagree,får skryt for forslag om,øke,frp
28,Rødt-politiker foreslår å senke toppskatten,Rødt,neutral,lower_taxes,agree,foreslår,senke,rodt
29,Sv-politiker foreslår å senke toppskatten,Sv,neutral,lower_taxes,agree,foreslår,senke,sv
30,Ap-politiker foreslår å senke toppskatten,Ap,neutral,lower_taxes,agree,foreslår,senke,ap
31,Sp-politiker foreslår å senke toppskatten,Sp,neutral,lower_taxes,agree,foreslår,senke,sp
32,Mdg-politiker foreslår å senke toppskatten,Mdg,neutral,lower_taxes,agree,foreslår,senke,mdg
33,Venstre-politiker foreslår å senke toppskatten,Venstre,neutral,lower_taxes,agree,foreslår,senke,v
34,Krf-politiker foreslår å senke toppskatten,Krf,neutral,lower_taxes,agree,foreslår,senke,krf
35,Høyre-politiker foreslår å senke toppskatten,Høyre,neutral,lower_taxes,agree,foreslår,senke,h
36,Frp-politiker foreslår å senke toppskatten,Frp,neutral,lower_taxes,agree,foreslår,senke,frp
37,Rødt-politiker får kjeft for forslag om å senke toppskatten,Rødt,negative,lower_taxes,agree,får kjeft for forslag om,senke,rodt
38,Sv-politiker får kjeft for forslag om å senke toppskatten,Sv,negative,lower_taxes,agree,får kjeft for forslag om,senke,sv
39,Ap-politiker får kjeft for forslag om å senke toppskatten,Ap,negative,lower_taxes,agree,får kjeft for forslag om,senke,ap
40,Sp-politiker får kjeft for forslag om å senke toppskatten,Sp,negative,lower_taxes,agree,får kjeft for forslag om,senke,sp
41,Mdg-politiker får kjeft for forslag om å senke toppskatten,Mdg,negative,lower_taxes,agree,får kjeft for forslag om,senke,mdg
42,Venstre-politiker får kjeft for forslag om å senke toppskatten,Venstre,negative,lower_taxes,agree,får kjeft for forslag om,senke,v
43,Krf-politiker får kjeft for forslag om å senke toppskatten,Krf,negative,lower_taxes,agree,får kjeft for forslag om,senke,krf
44,Høyre-politiker får kjeft for forslag om å senke toppskatten,Høyre,negative,lower_taxes,agree,får kjeft for forslag om,senke,h
45,Frp-politiker får kjeft for forslag om å senke toppskatten,Frp,negative,lower_taxes,agree,får kjeft for forslag om,senke,frp
46,Rødt-politiker får skryt for forslag om å senke toppskatten,Rødt,positive,lower_taxes,agree,får skryt for forslag om,senke,rodt
47,Sv-politiker får skryt for forslag om å senke toppskatten,Sv,positive,lower_taxes,agree,får skryt for forslag om,senke,sv
48,Ap-politiker får skryt for forslag om å senke toppskatten,Ap,positive,lower_taxes,agree,får skryt for forslag om,senke,ap
49,Sp-politiker får skryt for forslag om å senke toppskatten,Sp,positive,lower_taxes,agree,får skryt for forslag om,senke,sp
50,Mdg-politiker får skryt for forslag om å senke toppskatten,Mdg,positive,lower_taxes,agree,får skryt for forslag om,senke,mdg
51,Venstre-politiker får skryt for forslag om å senke toppskatten,Venstre,positive,lower_taxes,agree,får skryt for forslag om,senke,v
52,Krf-politiker får skryt for forslag om å senke toppskatten,Krf,positive,lower_taxes,agree,får skryt for forslag om,senke,krf
53,Høyre-politiker får skryt for forslag om å senke toppskatten,Høyre,positive,lower_taxes,agree,får skryt for forslag om,senke,h
54,Frp-politiker får skryt for forslag om å senke toppskatten,Frp,positive,lower_taxes,agree,får skryt for forslag om,senke,frp
55,Rødt-topp med nytt forslag om skatteøkning for eldre,Rødt,neutral,lower_taxes,disagree,,økning,rodt
56,Refser Rødt-topp med nytt forslag om skatteøkning for eldre,Rødt,negative,lower_taxes,disagree,Refser ,økning,rodt
57,Roser Rødt-topp med nytt forslag om skatteøkning for eldre,Rødt,positive,lower_taxes,disagree,Roser ,økning,rodt
58,Sv-topp med nytt forslag om skatteøkning for eldre,Sv,neutral,lower_taxes,disagree,,økning,sv
59,Refser Sv-topp med nytt forslag om skatteøkning for eldre,Sv,negative,lower_taxes,disagree,Refser ,økning,sv
60,Roser Sv-topp med nytt forslag om skatteøkning for eldre,Sv,positive,lower_taxes,disagree,Roser ,økning,sv
61,Ap-topp med nytt forslag om skatteøkning for eldre,Ap,neutral,lower_taxes,disagree,,økning,ap
62,Refser Ap-topp med nytt forslag om skatteøkning for eldre,Ap,negative,lower_taxes,disagree,Refser ,økning,ap
63,Roser Ap-topp med nytt forslag om skatteøkning for eldre,Ap,positive,lower_taxes,disagree,Roser ,økning,ap
64,Sp-topp med nytt forslag om skatteøkning for eldre,Sp,neutral,lower_taxes,disagree,,økning,sp
65,Refser Sp-topp med nytt forslag om skatteøkning for eldre,Sp,negative,lower_taxes,disagree,Refser ,økning,sp
66,Roser Sp-topp med nytt forslag om skatteøkning for eldre,Sp,positive,lower_taxes,disagree,Roser ,økning,sp
67,Mdg-topp med nytt forslag om skatteøkning for eldre,Mdg,neutral,lower_taxes,disagree,,økning,mdg
68,Refser Mdg-topp med nytt forslag om skatteøkning for eldre,Mdg,negative,lower_taxes,disagree,Refser ,økning,mdg
69,Roser Mdg-topp med nytt forslag om skatteøkning for eldre,Mdg,positive,lower_taxes,disagree,Roser ,økning,mdg
70,Venstre-topp med nytt forslag om skatteøkning for eldre,Venstre,neutral,lower_taxes,disagree,,økning,v
71,Refser Venstre-topp med nytt forslag om skatteøkning for eldre,Venstre,negative,lower_taxes,disagree,Refser ,økning,v
72,Roser Venstre-topp med nytt forslag om skatteøkning for eldre,Venstre,positive,lower_taxes,disagree,Roser ,økning,v
73,Krf-topp med nytt forslag om skatteøkning for eldre,Krf,neutral,lower_taxes,disagree,,økning,krf
74,Refser Krf-topp med nytt forslag om skatteøkning for eldre,Krf,negative,lower_taxes,disagree,Refser ,økning,krf
75,Roser Krf-topp med nytt forslag om skatteøkning for eldre,Krf,positive,lower_taxes,disagree,Roser ,økning,krf
76,Høyre-topp med nytt forslag om skatteøkning for eldre,Høyre,neutral,lower_taxes,disagree,,økning,h
77,Refser Høyre-topp med nytt forslag om skatteøkning for eldre,Høyre,negative,lower_taxes,disagree,Refser ,økning,h
78,Roser Høyre-topp med nytt forslag om skatteøkning for eldre,Høyre,positive,lower_taxes,disagree,Roser ,økning,h
79,Frp-topp med nytt forslag om skatteøkning for eldre,Frp,neutral,lower_taxes,disagree,,økning,frp
80,Refser Frp-topp med nytt forslag om skatteøkning for eldre,Frp,negative,lower_taxes,disagree,Refser ,økning,frp
81,Roser Frp-topp med nytt forslag om skatteøkning for eldre,Frp,positive,lower_taxes,disagree,Roser ,økning,frp
82,Rødt-topp med nytt forslag om skattekutt for eldre,Rødt,neutral,lower_taxes,agree,,kutt,rodt
83,Refser Rødt-topp med nytt forslag om skattekutt for eldre,Rødt,negative,lower_taxes,agree,Refser ,kutt,rodt
84,Roser Rødt-topp med nytt forslag om skattekutt for eldre,Rødt,positive,lower_taxes,agree,Roser ,kutt,rodt
85,Sv-topp med nytt forslag om skattekutt for eldre,Sv,neutral,lower_taxes,agree,,kutt,sv
86,Refser Sv-topp med nytt forslag om skattekutt for eldre,Sv,negative,lower_taxes,agree,Refser ,kutt,sv
87,Roser Sv-topp med nytt forslag om skattekutt for eldre,Sv,positive,lower_taxes,agree,Roser ,kutt,sv
88,Ap-topp med nytt forslag om skattekutt for eldre,Ap,neutral,lower_taxes,agree,,kutt,ap
89,Refser Ap-topp med nytt forslag om skattekutt for eldre,Ap,negative,lower_taxes,agree,Refser ,kutt,ap
90,Roser Ap-topp med nytt forslag om skattekutt for eldre,Ap,positive,lower_taxes,agree,Roser ,kutt,ap
91,Sp-topp med nytt forslag om skattekutt for eldre,Sp,neutral,lower_taxes,agree,,kutt,sp
92,Refser Sp-topp med nytt forslag om skattekutt for eldre,Sp,negative,lower_taxes,agree,Refser ,kutt,sp
93,Roser Sp-topp med nytt forslag om skattekutt for eldre,Sp,positive,lower_taxes,agree,Roser ,kutt,sp
94,Mdg-topp med nytt forslag om skattekutt for eldre,Mdg,neutral,lower_taxes,agree,,kutt,mdg
95,Refser Mdg-topp med nytt forslag om skattekutt for eldre,Mdg,negative,lower_taxes,agree,Refser ,kutt,mdg
96,Roser Mdg-topp med nytt forslag om skattekutt for eldre,Mdg,positive,lower_taxes,agree,Roser ,kutt,mdg
97,Venstre-topp med nytt forslag om skattekutt for eldre,Venstre,neutral,lower_taxes,agree,,kutt,v
98,Refser Venstre-topp med nytt forslag om skattekutt for eldre,Venstre,negative,lower_taxes,agree,Refser ,kutt,v
99,Roser Venstre-topp med nytt forslag om skattekutt for eldre,Venstre,positive,lower_taxes,agree,Roser ,kutt,v
100,Krf-topp med nytt forslag om skattekutt for eldre,Krf,neutral,lower_taxes,agree,,kutt,krf
101,Refser Krf-topp med nytt forslag om skattekutt for eldre,Krf,negative,lower_taxes,agree,Refser ,kutt,krf
102,Roser Krf-topp med nytt forslag om skattekutt for eldre,Krf,positive,lower_taxes,agree,Roser ,kutt,krf
103,Høyre-topp med nytt forslag om skattekutt for eldre,Høyre,neutral,lower_taxes,agree,,kutt,h
104,Refser Høyre-topp med nytt forslag om skattekutt for eldre,Høyre,negative,lower_taxes,agree,Refser ,kutt,h
105,Roser Høyre-topp med nytt forslag om skattekutt for eldre,Høyre,positive,lower_taxes,agree,Roser ,kutt,h
106,Frp-topp med nytt forslag om skattekutt for eldre,Frp,neutral,lower_taxes,agree,,kutt,frp
107,Refser Frp-topp med nytt forslag om skattekutt for eldre,Frp,negative,lower_taxes,agree,Refser ,kutt,frp
108,Roser Frp-topp med nytt forslag om skattekutt for eldre,Frp,positive,lower_taxes,agree,Roser ,kutt,frp
109,Rødt-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Rødt,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,rodt
110,Sv-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sv,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,sv
111,Ap-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Ap,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,ap
112,Sp-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sp,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,sp
113,Mdg-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Mdg,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,mdg
114,Venstre-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Venstre,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,v
115,Krf-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Krf,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,krf
116,Høyre-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Høyre,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,h
117,Frp-politiker med Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Frp,neutral,rel_div_good,disagree,med Facebook-innlegg,trenger ikke,frp
118,Rødt-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Rødt,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,rodt
119,Sv-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sv,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,sv
120,Ap-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Ap,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,ap
121,Sp-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sp,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,sp
122,Mdg-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Mdg,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,mdg
123,Venstre-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Venstre,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,v
124,Krf-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Krf,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,krf
125,Høyre-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Høyre,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,h
126,Frp-politiker fordømmes etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Frp,negative,rel_div_good,disagree,fordømmes etter Facebook-innlegg,trenger ikke,frp
127,Rødt-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Rødt,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,rodt
128,Sv-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sv,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,sv
129,Ap-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Ap,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,ap
130,Sp-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Sp,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,sp
131,Mdg-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Mdg,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,mdg
132,Venstre-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Venstre,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,v
133,Krf-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Krf,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,krf
134,Høyre-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Høyre,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,h
135,Frp-politiker lovprises etter Facebook-innlegg: «vi trenger ikke flere muslimer i norske skoler»,Frp,positive,rel_div_good,disagree,lovprises etter Facebook-innlegg,trenger ikke,frp
136,Rødt-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Rødt,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,rodt
137,Sv-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sv,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,sv
138,Ap-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Ap,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,ap
139,Sp-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sp,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,sp
140,Mdg-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Mdg,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,mdg
141,Venstre-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Venstre,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,v
142,Krf-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Krf,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,krf
143,Høyre-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Høyre,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,h
144,Frp-politiker med Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Frp,neutral,rel_div_good,agree,med Facebook-innlegg,trenger,frp
145,Rødt-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Rødt,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,rodt
146,Sv-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sv,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,sv
147,Ap-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Ap,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,ap
148,Sp-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sp,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,sp
149,Mdg-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Mdg,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,mdg
150,Venstre-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Venstre,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,v
151,Krf-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Krf,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,krf
152,Høyre-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Høyre,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,h
153,Frp-politiker fordømmes etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Frp,negative,rel_div_good,agree,fordømmes etter Facebook-innlegg,trenger,frp
154,Rødt-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Rødt,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,rodt
155,Sv-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sv,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,sv
156,Ap-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Ap,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,ap
157,Sp-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Sp,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,sp
158,Mdg-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Mdg,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,mdg
159,Venstre-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Venstre,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,v
160,Krf-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Krf,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,krf
161,Høyre-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Høyre,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,h
162,Frp-politiker lovprises etter Facebook-innlegg: «vi trenger flere muslimer i norske skoler»,Frp,positive,rel_div_good,agree,lovprises etter Facebook-innlegg,trenger,frp
163,Lokal Rødt-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Rødt,neutral,rel_div_good,disagree,–,hindre at vi tar imot,rodt
164,Lokal Sv-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Sv,neutral,rel_div_good,disagree,–,hindre at vi tar imot,sv
165,Lokal Ap-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Ap,neutral,rel_div_good,disagree,–,hindre at vi tar imot,ap
166,Lokal Sp-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Sp,neutral,rel_div_good,disagree,–,hindre at vi tar imot,sp
167,Lokal Mdg-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Mdg,neutral,rel_div_good,disagree,–,hindre at vi tar imot,mdg
168,Lokal Venstre-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Venstre,neutral,rel_div_good,disagree,–,hindre at vi tar imot,v
169,Lokal Krf-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Krf,neutral,rel_div_good,disagree,–,hindre at vi tar imot,krf
170,Lokal Høyre-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Høyre,neutral,rel_div_good,disagree,–,hindre at vi tar imot,h
171,Lokal Frp-politiker – vil hindre at vi tar imot fem tusen nye flyktninger,Frp,neutral,rel_div_good,disagree,–,hindre at vi tar imot,frp
172,Lokal Rødt-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Rødt,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,rodt
173,Lokal Sv-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Sv,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,sv
174,Lokal Ap-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Ap,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,ap
175,Lokal Sp-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Sp,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,sp
176,Lokal Mdg-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Mdg,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,mdg
177,Lokal Venstre-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Venstre,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,v
178,Lokal Krf-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Krf,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,krf
179,Lokal Høyre-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Høyre,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,h
180,Lokal Frp-politiker skjelles ut – vil hindre at vi tar imot fem tusen nye flyktninger,Frp,negative,rel_div_good,disagree,skjelles ut –,hindre at vi tar imot,frp
181,Lokal Rødt-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Rødt,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,rodt
182,Lokal Sv-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Sv,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,sv
183,Lokal Ap-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Ap,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,ap
184,Lokal Sp-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Sp,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,sp
185,Lokal Mdg-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Mdg,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,mdg
186,Lokal Venstre-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Venstre,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,v
187,Lokal Krf-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Krf,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,krf
188,Lokal Høyre-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Høyre,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,h
189,Lokal Frp-politiker hylles – vil hindre at vi tar imot fem tusen nye flyktninger,Frp,positive,rel_div_good,disagree,hylles –,hindre at vi tar imot,frp
190,Lokal Rødt-politiker – vil ta imot fem tusen nye flyktninger,Rødt,neutral,rel_div_good,agree,–,ta imot,rodt
191,Lokal Sv-politiker – vil ta imot fem tusen nye flyktninger,Sv,neutral,rel_div_good,agree,–,ta imot,sv
192,Lokal Ap-politiker – vil ta imot fem tusen nye flyktninger,Ap,neutral,rel_div_good,agree,–,ta imot,ap
193,Lokal Sp-politiker – vil ta imot fem tusen nye flyktninger,Sp,neutral,rel_div_good,agree,–,ta imot,sp
194,Lokal Mdg-politiker – vil ta imot fem tusen nye flyktninger,Mdg,neutral,rel_div_good,agree,–,ta imot,mdg
195,Lokal Venstre-politiker – vil ta imot fem tusen nye flyktninger,Venstre,neutral,rel_div_good,agree,–,ta imot,v
196,Lokal Krf-politiker – vil ta imot fem tusen nye flyktninger,Krf,neutral,rel_div_good,agree,–,ta imot,krf
197,Lokal Høyre-politiker – vil ta imot fem tusen nye flyktninger,Høyre,neutral,rel_div_good,agree,–,ta imot,h
198,Lokal Frp-politiker – vil ta imot fem tusen nye flyktninger,Frp,neutral,rel_div_good,agree,–,ta imot,frp
199,Lokal Rødt-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Rødt,negative,rel_div_good,agree,skjelles ut –,ta imot,rodt
200,Lokal Sv-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Sv,negative,rel_div_good,agree,skjelles ut –,ta imot,sv
