"rsp_id","rsp_age","rsp_allow_priv","rsp_education","rsp_eq_rights","rsp_gender","rsp_like_ap","rsp_like_frp","rsp_like_h","rsp_like_krf","rsp_like_mdg","rsp_like_rodt","rsp_like_sp","rsp_like_sv","rsp_like_v","rsp_lower_taxes","rsp_mobile","rsp_not_allow_love","rsp_political_interest","rsp_priv_better","rsp_reduce_ineq","rsp_ref_social_rights","rsp_rel_div_good","rsp_would_vote_party","rsp_polint","rsp_polside"
1000011,4,NA,3,NA,"Male",7,3,4,2,1,3,1,1,3,NA,0,NA,NA,NA,NA,NA,NA,8,NA,"Respondents on
the left"
1000012,2,NA,3,NA,"Female",4,3,6,6,3,2,5,2,4,NA,1,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000013,7,NA,1,NA,"Female",4,4,6,4,3,3,4,3,3,NA,0,NA,2,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000014,1,NA,1,NA,"Male",5,4,5,1,1,4,4,1,4,NA,NA,NA,2,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000015,1,NA,2,NA,"Male",5,2,5,2,2,2,5,3,5,NA,0,NA,5,NA,NA,NA,NA,4,"Interested in politics",NA
1000016,2,NA,3,NA,"Female",2,6,7,3,1,1,3,1,2,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000017,3,NA,3,NA,"Male",5,1,4,3,5,3,3,5,6,NA,NA,NA,3,NA,NA,NA,NA,4,"Not interested in politics",NA
1000018,2,NA,3,NA,"Male",4,2,3,3,2,2,5,2,5,NA,0,NA,2,NA,NA,NA,NA,4,"Not interested in politics",NA
1000019,4,NA,3,NA,"Male",5,2,4,3,2,3,4,3,3,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000020,3,NA,2,NA,"Female",5,4,6,5,4,3,3,3,5,NA,NA,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000021,2,NA,3,NA,"Female",5,2,5,5,4,1,4,2,6,NA,NA,NA,4,NA,NA,NA,NA,7,"Interested in politics",NA
1000022,3,NA,3,NA,"Female",6,1,2,1,3,5,2,4,3,NA,1,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000023,4,NA,3,NA,"Female",6,5,4,3,5,5,1,5,NA,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000024,2,NA,1,NA,"Male",2,2,3,2,3,2,3,2,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000025,3,NA,2,NA,"Female",6,1,1,2,4,4,4,4,4,NA,1,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000026,6,NA,2,NA,"Male",5,NA,6,1,2,1,1,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000027,2,NA,3,NA,"Male",5,6,6,3,1,4,3,1,2,NA,NA,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000028,1,NA,1,NA,"Female",4,3,3,7,4,2,5,4,4,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000029,2,NA,NA,NA,"Male",4,3,2,6,NA,NA,1,7,5,NA,NA,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000030,2,NA,NA,NA,"Female",4,4,4,4,4,4,4,4,4,NA,NA,NA,1,NA,NA,NA,NA,12,"Not interested in politics",NA
1000031,3,NA,3,NA,"Male",4,1,3,2,4,4,4,3,4,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000032,3,NA,3,NA,"Female",4,3,5,4,4,4,4,4,4,NA,0,NA,2,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000033,3,NA,3,NA,"Male",7,2,5,4,4,4,4,5,5,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000034,2,NA,3,NA,"Female",5,3,7,5,1,1,2,2,5,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000035,1,NA,3,NA,"Female",5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,"Not interested in politics",NA
1000036,1,NA,2,NA,"Male",5,2,2,1,5,7,2,5,4,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000037,2,NA,3,NA,"Female",5,3,4,4,6,4,4,6,4,NA,0,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000038,5,NA,3,NA,"Male",5,3,7,4,5,1,1,1,3,NA,NA,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000039,2,NA,2,NA,"Male",6,3,6,3,3,2,3,3,4,NA,NA,NA,2,NA,NA,NA,NA,1,"Not interested in politics",NA
1000040,1,NA,3,NA,"Female",6,1,3,3,1,1,5,5,3,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000041,3,NA,3,NA,"Male",5,1,2,2,3,4,2,5,3,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000042,2,NA,2,NA,"Female",3,5,5,5,4,1,4,1,3,NA,NA,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000043,1,NA,1,NA,"Female",6,3,6,4,4,4,5,4,6,NA,0,NA,3,NA,NA,NA,NA,4,"Not interested in politics",NA
1000044,7,NA,3,NA,"Female",5,1,3,3,5,3,3,6,3,NA,0,NA,5,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000045,4,NA,3,NA,"Male",4,1,2,2,4,6,5,5,2,NA,0,NA,4,NA,NA,NA,NA,11,"Interested in politics",NA
1000046,4,NA,3,NA,"Female",5,1,4,1,4,4,4,4,7,NA,0,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000047,4,NA,3,NA,"Male",2,2,5,5,1,1,6,2,6,NA,NA,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000048,5,NA,3,NA,"Female",5,1,3,2,4,5,4,5,4,NA,1,NA,3,NA,NA,NA,NA,5,"Not interested in politics","Respondents on
the left"
1000049,4,NA,3,NA,"Female",1,7,5,2,1,1,3,1,1,NA,0,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000050,4,NA,3,NA,"Male",6,3,3,1,1,5,4,3,4,NA,0,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000051,4,NA,3,NA,"Female",6,2,4,3,5,4,3,4,4,NA,1,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000052,5,NA,3,NA,"Female",5,2,3,2,5,5,4,3,5,NA,NA,NA,5,NA,NA,NA,NA,4,"Interested in politics",NA
1000053,2,NA,3,NA,"Female",6,1,5,1,5,2,3,5,6,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000054,6,NA,3,NA,"Female",5,1,4,2,5,4,4,5,4,NA,0,NA,5,NA,NA,NA,NA,11,"Interested in politics",NA
1000055,4,NA,NA,NA,"Male",4,3,5,3,3,2,3,2,2,NA,NA,NA,3,NA,NA,NA,NA,12,"Not interested in politics",NA
1000056,3,NA,3,NA,"Female",6,3,5,3,3,3,4,5,6,NA,0,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000057,4,NA,2,NA,"Male",3,6,6,4,1,2,3,2,5,NA,NA,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000058,2,NA,3,NA,"Male",2,2,3,3,4,3,2,2,3,NA,0,NA,4,NA,NA,NA,NA,7,"Interested in politics",NA
1000059,4,NA,3,NA,"Female",1,6,4,3,3,5,2,3,2,NA,0,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000060,2,NA,3,NA,"Male",5,1,2,3,6,7,4,6,3,NA,1,NA,3,NA,NA,NA,NA,5,"Not interested in politics","Respondents on
the left"
1000061,3,NA,3,NA,"Male",7,1,2,3,5,4,4,5,4,NA,NA,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000062,2,NA,2,NA,"Female",6,1,3,3,4,5,5,5,5,NA,1,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000063,2,NA,2,NA,"Female",4,4,4,4,4,4,4,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000064,5,NA,1,NA,"Male",6,1,3,3,2,3,3,4,1,NA,NA,NA,5,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000065,2,NA,3,NA,"Male",1,7,5,1,5,4,4,5,3,NA,NA,NA,1,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000066,4,NA,3,NA,"Female",2,5,7,1,1,1,4,1,1,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000067,3,NA,3,NA,"Female",5,5,5,5,5,5,5,5,5,NA,NA,NA,3,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000068,5,NA,3,NA,"Male",2,3,6,6,3,1,2,2,5,NA,NA,NA,4,NA,NA,NA,NA,6,"Interested in politics",NA
1000069,2,NA,2,NA,"Male",6,7,6,4,4,4,5,5,4,NA,NA,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000070,4,NA,3,NA,"Male",4,5,5,3,3,1,3,1,5,NA,NA,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000071,2,NA,3,NA,"Male",4,1,3,4,4,5,3,5,3,NA,1,NA,3,NA,NA,NA,NA,9,"Not interested in politics","Respondents on
the left"
1000072,4,NA,2,NA,"Male",6,1,3,5,2,3,5,2,4,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000073,3,NA,3,NA,"Male",6,3,6,6,3,2,3,4,5,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000074,4,NA,3,NA,"Male",5,4,6,1,4,4,3,4,5,NA,NA,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000075,3,NA,3,NA,"Female",6,1,3,5,5,5,5,6,3,NA,0,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000076,3,NA,3,NA,"Female",5,1,3,3,3,1,1,3,6,NA,NA,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000077,2,NA,3,NA,"Male",5,4,5,6,4,2,4,2,4,NA,NA,NA,4,NA,NA,NA,NA,1,"Interested in politics",NA
1000078,6,NA,3,NA,"Male",5,1,2,3,6,6,5,7,1,NA,0,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000079,2,NA,3,NA,"Male",5,3,4,4,4,4,4,4,5,NA,0,NA,5,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000080,3,NA,3,NA,"Female",5,1,3,3,4,4,3,6,1,NA,NA,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000081,3,NA,3,NA,"Male",2,7,7,2,1,2,2,2,4,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000082,3,NA,3,NA,"Female",5,1,3,4,5,4,4,4,5,NA,0,NA,4,NA,NA,NA,NA,10,"Interested in politics",NA
1000083,5,NA,2,NA,"Female",4,1,1,1,6,6,2,6,4,NA,1,NA,2,NA,NA,NA,NA,5,"Not interested in politics","Respondents on
the left"
1000084,5,NA,3,NA,"Male",1,7,4,1,2,1,1,1,3,NA,NA,NA,5,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000085,2,NA,3,NA,"Female",7,1,2,3,5,4,4,7,2,NA,NA,NA,3,NA,NA,NA,NA,5,"Not interested in politics","Respondents on
the left"
1000086,2,NA,2,NA,"Male",2,4,4,1,3,3,3,2,2,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000087,2,NA,3,NA,"Female",5,1,3,5,6,NA,3,5,6,NA,0,NA,5,NA,NA,NA,NA,7,"Interested in politics",NA
1000088,2,NA,3,NA,"Male",7,3,3,2,1,3,3,4,3,NA,NA,NA,4,NA,NA,NA,NA,1,"Interested in politics",NA
1000089,1,NA,3,NA,"Male",5,2,4,4,6,2,4,5,6,NA,0,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000090,4,NA,2,NA,"Male",3,4,6,4,1,1,2,3,2,NA,1,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000091,5,NA,3,NA,"Male",4,2,7,1,2,1,2,2,4,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000092,5,NA,3,NA,"Male",3,4,5,3,1,1,3,2,2,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000093,3,NA,2,NA,"Male",2,7,6,1,1,1,1,1,3,NA,1,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000094,3,NA,2,NA,"Female",6,1,5,5,4,4,4,4,5,NA,NA,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000095,4,NA,3,NA,"Male",3,5,6,2,3,2,4,3,3,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000096,2,NA,2,NA,"Female",5,1,5,4,4,3,4,3,4,NA,NA,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000097,2,NA,3,NA,"Male",3,5,6,4,1,1,3,1,3,NA,0,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000098,2,NA,2,NA,"Female",6,1,3,3,5,2,5,3,6,NA,NA,NA,4,NA,NA,NA,NA,1,"Interested in politics",NA
1000099,6,NA,3,NA,"Male",7,1,2,1,6,3,5,7,5,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000100,2,NA,3,NA,"Male",4,2,3,4,3,5,3,3,6,NA,NA,NA,2,NA,NA,NA,NA,4,"Not interested in politics",NA
1000101,5,NA,2,NA,"Male",1,7,6,1,1,1,5,1,1,NA,0,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000102,1,NA,1,NA,"Female",7,1,5,5,2,5,5,5,4,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000103,5,NA,3,NA,"Male",2,5,6,1,1,1,1,1,1,NA,0,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000104,4,NA,3,NA,"Female",6,2,2,2,4,4,4,4,4,NA,1,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000105,2,NA,3,NA,"Male",5,5,7,4,4,1,2,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000106,3,NA,3,NA,"Female",5,3,5,6,5,2,5,5,5,NA,NA,NA,3,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000107,6,NA,1,NA,"Male",2,6,7,3,4,1,1,1,3,NA,NA,NA,5,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000108,2,NA,3,NA,"Female",6,1,3,2,5,5,5,5,5,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000109,4,NA,3,NA,"Male",2,5,6,3,1,1,2,1,2,NA,0,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000110,4,NA,2,NA,"Male",2,3,6,2,2,2,2,1,5,NA,NA,NA,3,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000111,4,NA,3,NA,"Male",5,1,2,3,2,4,4,2,2,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000112,4,NA,3,NA,"Female",3,1,5,5,1,2,2,2,2,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000113,3,NA,3,NA,"Male",6,2,3,4,2,4,4,4,3,NA,1,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000114,1,NA,1,NA,"Male",7,1,2,3,5,5,4,6,3,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000115,4,NA,3,NA,"Male",5,2,5,3,1,3,1,1,6,NA,0,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000116,2,NA,3,NA,"Male",3,1,1,4,7,6,3,6,4,NA,0,NA,3,NA,NA,NA,NA,7,"Not interested in politics",NA
1000117,2,NA,3,NA,"Female",6,2,5,5,5,6,4,5,5,NA,0,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000118,1,NA,2,NA,"Female",6,2,6,3,3,3,4,3,4,NA,NA,NA,2,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000119,7,NA,1,NA,"Female",6,1,2,3,3,4,3,3,3,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000120,2,NA,2,NA,"Female",4,1,3,2,5,3,4,4,3,NA,NA,NA,4,NA,NA,NA,NA,9,"Interested in politics","Respondents on
the left"
1000121,2,NA,3,NA,"Male",7,1,6,1,3,2,1,1,1,NA,NA,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000122,2,NA,2,NA,"Male",5,6,6,6,1,2,4,2,1,NA,NA,NA,2,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000123,6,NA,3,NA,"Male",5,1,5,1,4,1,1,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,"Interested in politics",NA
1000124,2,NA,3,NA,"Female",6,2,5,1,6,5,3,5,6,NA,0,NA,3,NA,NA,NA,NA,11,"Not interested in politics",NA
1000125,2,NA,3,NA,"Male",4,2,5,5,4,3,5,3,4,NA,NA,NA,4,NA,NA,NA,NA,1,"Interested in politics",NA
1000126,5,NA,3,NA,"Male",4,1,4,3,2,2,3,2,4,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000127,4,NA,3,NA,"Male",5,3,5,3,5,5,3,5,6,NA,0,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000128,2,NA,3,NA,"Male",4,3,4,4,4,4,4,3,4,NA,0,NA,4,NA,NA,NA,NA,12,"Interested in politics",NA
1000129,2,NA,3,NA,"Female",5,1,3,5,6,3,4,5,5,NA,1,NA,5,NA,NA,NA,NA,7,"Interested in politics",NA
1000130,3,NA,3,NA,"Female",5,3,5,3,3,5,5,2,3,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000131,1,NA,2,NA,"Female",5,1,3,6,5,5,5,5,5,NA,0,NA,3,NA,NA,NA,NA,1,"Not interested in politics",NA
1000132,2,NA,3,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12,"Not interested in politics",NA
1000133,5,NA,2,NA,"Female",2,4,6,2,2,1,2,1,2,NA,NA,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000134,1,NA,2,NA,"Male",2,6,6,3,1,1,2,1,3,NA,0,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000135,3,NA,3,NA,"Female",7,1,3,5,5,4,4,7,3,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000136,4,NA,3,NA,"Female",6,2,3,3,4,6,4,6,4,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000137,4,NA,3,NA,"Male",6,1,3,3,6,5,4,6,4,NA,1,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000138,5,NA,NA,NA,"Female",6,2,3,3,3,5,4,5,1,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000139,3,NA,3,NA,"Female",5,1,2,5,6,4,5,6,7,NA,NA,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000140,3,NA,2,NA,"Male",5,3,4,4,7,5,6,6,5,NA,NA,NA,4,NA,NA,NA,NA,7,"Interested in politics",NA
1000141,5,NA,3,NA,"Female",4,1,2,2,5,6,5,7,5,NA,NA,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000142,2,NA,3,NA,"Male",4,2,4,1,1,1,3,3,3,NA,1,NA,4,NA,NA,NA,NA,10,"Interested in politics",NA
1000143,5,NA,3,NA,"Female",5,1,3,1,5,5,1,3,5,NA,0,NA,5,NA,NA,NA,NA,11,"Interested in politics",NA
1000144,4,NA,3,NA,"Female",3,3,6,4,3,3,5,5,5,NA,1,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000145,3,NA,2,NA,"Male",4,6,6,4,4,6,4,4,4,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000146,4,NA,3,NA,"Male",5,1,3,3,6,6,3,6,5,NA,NA,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000147,7,NA,3,NA,"Male",5,6,6,1,1,1,1,1,1,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000148,5,NA,3,NA,"Male",5,2,3,1,1,1,2,1,1,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000149,4,NA,3,NA,"Female",4,2,5,4,2,2,3,3,3,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000150,3,NA,3,NA,"Male",5,3,6,5,5,2,3,3,6,NA,0,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000151,6,NA,2,NA,"Female",5,6,3,2,5,2,5,3,NA,NA,0,NA,4,NA,NA,NA,NA,4,"Interested in politics",NA
1000152,4,NA,3,NA,"Female",5,5,6,3,2,2,5,2,5,NA,0,NA,3,NA,NA,NA,NA,2,"Not interested in politics","Respondents on
the right"
1000153,2,NA,2,NA,"Male",5,2,3,3,5,4,4,5,6,NA,0,NA,2,NA,NA,NA,NA,4,"Not interested in politics",NA
1000154,4,NA,3,NA,"Male",7,7,NA,2,4,1,1,1,3,NA,NA,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000155,6,NA,3,NA,"Male",1,7,3,2,1,2,5,1,1,NA,0,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000156,5,NA,2,NA,"Male",3,4,5,3,1,2,2,2,3,NA,0,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000157,2,NA,2,NA,"Male",1,1,1,1,1,1,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,10,"Interested in politics",NA
1000158,1,NA,1,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,12,"Interested in politics",NA
1000159,2,NA,3,NA,"Male",4,5,7,3,5,2,1,2,5,NA,NA,NA,5,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000160,3,NA,3,NA,"Male",6,2,2,2,1,3,3,4,2,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000161,5,NA,3,NA,"Male",5,2,4,5,7,3,5,4,6,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000162,4,NA,2,NA,"Male",NA,3,3,NA,3,3,3,3,4,NA,1,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000163,4,NA,3,NA,"Female",7,1,3,1,5,5,1,7,3,NA,NA,NA,4,NA,NA,NA,NA,1,"Interested in politics",NA
1000164,2,NA,3,NA,"Male",5,1,5,3,2,2,2,3,5,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000165,5,NA,3,NA,"Male",2,7,6,3,2,1,1,2,2,NA,0,NA,3,NA,NA,NA,NA,3,"Not interested in politics","Respondents on
the right"
1000166,3,NA,3,NA,"Female",4,1,5,3,6,5,3,5,7,NA,0,NA,2,NA,NA,NA,NA,4,"Not interested in politics",NA
1000167,3,NA,3,NA,"Female",5,1,4,1,4,3,3,4,4,NA,0,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000168,3,NA,3,NA,"Female",4,4,4,4,4,4,4,4,4,NA,1,NA,2,NA,NA,NA,NA,10,"Not interested in politics",NA
1000169,5,NA,3,NA,"Female",6,2,5,3,5,6,5,6,5,NA,0,NA,4,NA,NA,NA,NA,5,"Interested in politics","Respondents on
the left"
1000170,4,NA,3,NA,"Male",6,1,3,5,5,3,5,5,6,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000171,3,NA,3,NA,"Male",5,3,4,2,1,1,2,1,1,NA,0,NA,3,NA,NA,NA,NA,8,"Not interested in politics","Respondents on
the left"
1000172,3,NA,3,NA,"Male",1,6,7,3,1,1,1,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000173,4,NA,2,NA,"Male",6,6,5,5,4,1,1,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,"Interested in politics",NA
1000174,1,NA,2,NA,"Female",2,6,6,1,1,1,1,1,2,NA,1,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000175,5,NA,3,NA,"Female",5,1,6,4,2,1,3,1,3,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000176,4,NA,3,NA,"Male",6,6,6,2,3,1,5,1,1,NA,0,NA,5,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
